nome_escola_siope,municipio,nome_dependencia_administrativa,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero,end2,lon,lat
HAIDEE MARCAL SERBIN PROFA EM,Bragança Paulista,MUNICIPAL,236858,35236858,NUCLEO RESIDENCIAL HENEDINA RODRIGUES CORTEZ,BRAGANCA PAULISTA,12927120,ALAMEDA,SAULO CRISPIM MARQUES,SN,"saulo crispim marques sn nucleo residencial henedina rodrigues cortez , SP, Brasil",-46.5363211,-22.9111105
CREUSA GOMES DE AZEVEDO PROFA EM,Bragança Paulista,MUNICIPAL,436161,35436161,VILA MUNICIPAL,BRAGANCA PAULISTA,12912230,RUA,BERNARDO STEFANI,415,"bernardo stefani 415 vila municipal , SP, Brasil",-46.5347895,-22.9460478
JANDYRA COLOMBI COSTA VALENTE PROFA EM,Bragança Paulista,MUNICIPAL,226580,35226580,JARDIM SAO LOURENCO,BRAGANCA PAULISTA,12908511,RUA,PROJETADA UM,101,"projetada um 101 jardim sao lourenco , SP, Brasil",-45.0499469,-22.1095657
THEREZINHA DE LIMA BELLOTTO PROFA EM,Bragança Paulista,MUNICIPAL,226683,35226683,MAE DOS HOMENS,BRAGANCA PAULISTA,7787010,RUA,BAIRRO MAE DOS HOMENS,SN,"bairro mae dos homens sn mae dos homens , SP, Brasil",-46.6070678,-22.8888321
NILZA FARIA PROFA EM,Bragança Paulista,MUNICIPAL,222549,35222549,JARDIM DO CEDRO,BRAGANCA PAULISTA,12926282,RUA,JOSE DOMINICCI,SN,"jose dominicci sn jardim do cedro , SP, Brasil",-46.5334978,-22.9246888
DINORAH RAMOS PROF EM,Bragança Paulista,MUNICIPAL,246463,35246463,CIDADE PLANEJADA II,BRAGANCA PAULISTA,12922580,RUA,AGOSTINHO ROSA,260,"agostinho rosa 260 cidade planejada ii , SP, Brasil",-46.5520434,-22.9113493
DINORAH RAMOS PROF EM,Bragança Paulista,MUNICIPAL,246463,35246463,CIDADE PLANEJADA II,BRAGANCA PAULISTA,12922580,RUA,AGOSTINHO ROSA,260,"agostinho rosa 260 cidade planejada ii , SP, Brasil",-46.5520434,-22.9113493
CECY APPARECIDA ROCHA DE AGUIAR PROFA EMEF,Santa Gertrudes,MUNICIPAL,227882,35227882,JARDIM DAS PAINEIRAS,SANTA GERTRUDES,13510000,RUA,AVENIDA FRANCISCO VITTI,50,"avenida francisco vitti 50 jardim das paineiras , SP, Brasil",-47.53945,-22.449801
ANTONIO FILIER PREFEITO EMEIEF,Santa Gertrudes,MUNICIPAL,435806,35435806,PARQUE DOS JEQUITIBAS,SANTA GERTRUDES,13510000,RUA,RUA SEBASTIAO DENARDI,716,"rua sebastiao denardi 716 parque dos jequitibas , SP, Brasil",-47.5399723,-22.4409384
GERALDO APARECIDO ROCHA PROF EMEI,Santa Gertrudes,MUNICIPAL,275141,35275141,JARDIM PAULISTA,SANTA GERTRUDES,13510000,RUA,AVENIDA SAO PAULO,20,"avenida sao paulo 20 jardim paulista , SP, Brasil",-46.5545557,-23.4733477
EUGENIO SECCO VEREADOR EMEI,Santa Gertrudes,MUNICIPAL,243000,35243000,CENTRO,SANTA GERTRUDES,13510000,RUA,AVENIDA 11,65,"avenida 11 65 centro , SP, Brasil",-46.6320967,-23.5406338
QUERINO VOLANI PADRE CRECHE MUNICIPAL,Santa Gertrudes,MUNICIPAL,562853,35562853,JARDIM NOVA SANTA GERTRUDES,SANTA GERTRUDES,13510000,RUA,RUA CARLOS LUIZ DE SOUZA,35,"rua carlos luiz de souza 35 jardim nova santa gertrudes , SP, Brasil",-47.514863,-22.46419
