no_municipio,nome_escola_siope,esc,nome_dependencia_administrativa,nome_escola_secretaria,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero
franco da rocha,EMEB MARIANA THOMAZ FERREIRA,mariana thomaz ferreira,,,,,,,,,,
franco da rocha,EMEB PAULO BENEVIDES FRANCO DE GODOY,paulo benevides franco de godoy,,,,,,,,,,
franco da rocha,EMEB NAIR DE SENE FROES PROFA,nair de sene froes profa,,,,,,,,,,
franco da rocha,EMEB ADAMASTOR BAPTISTA PROF,adamastor baptista prof,ESTADUAL - SE,ADAMASTOR BAPTISTA PROF,5654,35005654,POUSO ALEGRE,FRANCO DA ROCHA,7859340,ESTRADA,RODOVIA PREFEITO LUIZ SALOMAO CHAMMA,KM 43
sao joao da boa vista,EMEB PROFESSOR JOAO BAPTISTA SCANNAPIECO,emeb professor joao baptista scannapieco,,,,,,,,,,
porto feliz,CENTRO DE EDUCACAO INFANTIL MUNICIPAL GIOVANNA DE OLIVEIRA L,centro de educacao infantil municipal giovanna de oliveira l,,,,,,,,,,
ipua,ANTONIO FRANCISCO D AVILA EMEB,antonio francisco d avila emeb,,,,,,,,,,
piracaia,SANTO ANTONIO DA CACHOEIRA EMEI,santo antonio da cachoeira emei,,,,,,,,,,
itarare,ESCOLA MUNICIPAL DO CAMPO PROFA ROSEMARI LOPES FERREIRA BIGL,escola municipal do campo profa rosemari lopes ferreira bigl,,,,,,,,,,
rio grande da serra,EMEB JOAQUIM DA SILVA - TIO KITA,emeb joaquim da silva - tio kita,,,,,,,,,,
santa isabel,TEIJI KITA ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,teiji kita escola municipal de educacao infantil,,,,,,,,,,
bebedouro,CEMEI PROFA ELIANE DE VITO FERREIRA PENNA,cemei profa eliane de vito ferreira penna,,,,,,,,,,
olimpia,THIAGO FELICIO DE SANT ANA EMEB,thiago felicio de sant ana emeb,,,,,,,,,,
sao bernardo do campo,CAROLINA MARIA DE JESUS EMEB,carolina maria de jesus emeb,,,,,,,,,,
guarulhos,EPG - EPG DEUCELIA ADEGAS PERA PROFESSORA,epg - epg deucelia adegas pera professora,,,,,,,,,,
guarulhos,EPG - EPG VIRGILINA SERRA DE ZOPPI,epg - epg virgilina serra de zoppi,,,,,,,,,,
guarulhos,EPG - EPG GONZAGUINHA,epg - epg gonzaguinha,,,,,,,,,,
guarulhos,EPG - EPG ANTONIO GONCALVES DIAS,epg - epg antonio goncalves dias,,,,,,,,,,
guarulhos,EPG - EPG JOSE MAURICIO DE OLIVEIRA DOUTOR,epg - epg jose mauricio de oliveira doutor,,,,,,,,,,
guarulhos,EPG - EPG ANISIO TEIXEIRA,epg - epg anisio teixeira,,,,,,,,,,
guarulhos,EPG - EPG HERBERT DE SOUZA - BETINHO,epg - epg herbert de souza - betinho,,,,,,,,,,
guarulhos,EPG - EPG BARBARA CRISTINA,epg - epg barbara cristina,,,,,,,,,,
guarulhos,EPG - EPG SEBASTIAO LUIZ DA FONSECA PASTOR,epg - epg sebastiao luiz da fonseca pastor,,,,,,,,,,
guarulhos,EPG - EPG DORIVAL CAYMMI,epg - epg dorival caymmi,,,,,,,,,,
guarulhos,EPG - EPG EUCLIDES DA CUNHA,epg - epg euclides da cunha,,,,,,,,,,
guarulhos,EPG - EPG MONTEIRO LOBATO,epg - epg monteiro lobato,,,,,,,,,,
guarulhos,EPG - EPG OFELIA ECHEVERRI LOPES IRMA,epg - epg ofelia echeverri lopes irma,,,,,,,,,,
sertaozinho,HELE NICE DE SOUZA TUFI PROFESSORA EMEI,hele nice de souza tufi professora emei,,,,,,,,,,
monteiro lobato,NUCLEO DE EDUCACAO INFANTIL NARIZINHO ARREBITADO NO REINO DA,nucleo de educacao infantil narizinho arrebitado no reino da,,,,,,,,,,
conchas,ESCOLA MUNICIPAL PROFESSORA MARIA TEIXEIRA LIMA -DONA NENE,escola municipal professora maria teixeira lima -dona nene,,,,,,,,,,
francisco morato,SECRETARIA MUNICIPAL DA EDUCAÇÃO DO MUN DE FRANCISCO MORATO,secretaria municipal da educacao do mun de francisco morato,,,,,,,,,,
presidente prudente,FRANCISCA DE ALMEIDA GOES BRANDAO PROFESSORA ESCOLA MUNICIPA,francisca de almeida goes brandao professora escola municipa,,,,,,,,,,
cajamar,EMEB PROFESSORA CLEIDE APARECIDA FIUZA PENIDO,emeb professora cleide aparecida fiuza penido,,,,,,,,,,
monte aprazivel,ASSESSORIA MUNICIPAL DE EDUCACAO DE MONTE APRAZIVEL,assessoria municipal de educacao de monte aprazivel,,,,,,,,,,
santa isabel,DELLA NOCHE DA COSTA EMEI,della noche da costa emei,,,,,,,,,,
amparo,SAO CRISTOVAO CRECHE,sao cristovao creche,,,,,,,,,,
fernando prestes,PRE-ESCOLA MUNICIPAL DE FERNANDO PRESTES,pre-escola municipal de fernando prestes,,,,,,,,,,
maua,ESCOLA MUNICIPAL MARTIN LUTHER KING JR,escola municipal martin luther king jr,,,,,,,,,,
casa branca,EMEB PROFESSOR ACACIO DOS SANTOS PELEGRINI,emeb professor acacio dos santos pelegrini,,,,,,,,,,
angatuba,ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ANGATUBA,assoc de pais e amigos dos excepcionais de angatuba,,,,,,,,,,
casa branca,EMEB PROFESSOR CARLOS CORREA MASCARO,emeb professor carlos correa mascaro,,,,,,,,,,
sao paulo,CEI DIRET JARDIM RINCAO,jardim rincao,MUNICIPAL,JARDIM RINCAO CRECHE MUNICIPAL,238016,35238016,JARDIM RINCAO,JARAGUA,2991100,RUA,RUA XAVIER DOS PASSAROS,100
sao paulo,CEI DIRET AYRTON SENNA DA SILVA,ayrton senna da silva,ESTADUAL - SE,AYRTON SENNA DA SILVA,924799,35924799,VARGEM GRANDE,PARELHEIROS,4896260,RUA,RUA IPE ROXO,112
sao paulo,CEI DIRET AYRTON SENNA DA SILVA,ayrton senna da silva,MUNICIPAL,AYRTON SENNA DA SILVA EMEI,75553,35075553,JARDIM MIRIAM,CIDADE ADEMAR,4417100,RUA,RUA SEBASTIAO AFONSO,271
sao paulo,CEI DIRET HIGINO PELLEGRINI VER,higino pellegrini ver,,,,,,,,,,
sao paulo,CEI DIRET CONJ HABITACIONAL TEXIMA,conj habitacional texima,,,,,,,,,,
sao paulo,EMEI AFONSO SARDINHA,afonso sardinha,MUNICIPAL,AFONSO SARDINHA EMEI,52164,35052164,JARDIM SANTO ELIAS,PIRITUBA,5110000,AVENIDA,MUTINGA,1406
sao paulo,EMEI DANTE MOREIRA LEITE PROF,dante moreira leite prof,,,,,,,,,,
sao paulo,EMEI MARIA DA CONCEICAO VIEIRA PEREIRA PROFA,maria da conceicao vieira pereira profa,MUNICIPAL,MARIA DA CONCEICAO VIEIRA PEREIRA PROFA EMEI,95667,35095667,PARQUE SANTA AMELIA,ITAIM PAULISTA,8122480,RUA,DIOGO DE GOUVEIA OSORIO,18
sao paulo,EMEI ROSA MARIA DOGO DE RESENDE PROFA,rosa maria dogo de resende profa,,,,,,,,,,
sao paulo,CEU EMEI BENNO HUBERT STOLLENWERK PE,benno hubert stollenwerk,MUNICIPAL,BENNO HUBERT STOLLENWERK PADRE EMEI,87622,35087622,SAO JOAO CLIMACO,SACOMA,4240110,RUA,BARBINOS,111
sao paulo,EMEI JOAO CANDIDO,joao candido,MUNICIPAL,JOAO CANDIDO EMEI,224248,35224248,JARDIM SIPRAMAR,GRAJAU,4851340,RUA,DANIEL ALOMIA,310
sao paulo,EMEI MARINA NOGUEIRA DE SOUZA MARTINS,marina nogueira de souza martins,MUNICIPAL,MARINA NOGUEIRA DE SOUZA MARTINS EMEI,74706,35074706,MANDAQUI,MANDAQUI,2475002,AVENIDA,DIREITOS HUMANOS,2767
sao paulo,CEI DIRET ELFRIDA ZUKOWSKI JARDIM,elfrida zukowski jardim,,,,,,,,,,
sao paulo,CEI DIRET VILA GUSTAVO,vila gustavo,MUNICIPAL,VILA GUSTAVO CRECHE MUNICIPAL,238302,35238302,VILA NIVI,TUCURUVI,2255130,RUA,RUA JOAO ROSA,8
sao paulo,EMEI PARQUE FIGUEIRA GRANDE I - ANDRE LUIZ JANUARIO,parque figueira grande i - andre luiz januario,,,,,,,,,,
sao paulo,EMEI JOSE ROSCHEL CHRISTI - JUCA ROCHA,jose roschel christi - juca rocha,,,,,,,,,,
sao paulo,CEU EMEI LUIZA HELENA FERREIRA PROFA,luiza helena ferreira profa,,,,,,,,,,
sao paulo,EMEI MIROEL SILVEIRA,miroel silveira,MUNICIPAL,MIROEL SILVEIRA EMEI,90669,35090669,CONJUNTO RESIDENCIAL JOSE BONIFACIO,JOSE BONIFACIO,8253530,RUA,RUA CURRUIRA DO BREJO,133
sao paulo,EMEI LUCIANO ROBERTO PROF,luciano roberto prof,MUNICIPAL,LUCIANO ROBERTO PROF EMEI,87221,35087221,CONJUNTO HABITACIONAL PADRE MANOEL DA NOBREGA,ARTUR ALVIM,3590020,RUA,RUA PADRE CLAUDIO GOMES,75
sao paulo,CEI DIRET GENOVEVA DASCOLI,genoveva dascoli,MUNICIPAL,GENOVEVA DASCOLI CRECHE MUNICIPAL,239537,35239537,QUINTA DA PAINEIRA,VILA PRUDENTE,3150020,RUA,MARIA DAFFRE,740
sao paulo,CEMEI JARDIM ANGELA,cjardim angela,,,,,,,,,,
sao paulo,EMEI PEDRO BRASIL BANDECCHI,pedro brasil bandecchi,MUNICIPAL,PEDRO BRASIL BANDECCHI CRECHE MUNICIPAL,237516,35237516,JARDIM ETELVINA,LAJEADO,8430560,RUA,RUA MARIA AMELIA ASSUNCAO,185
sao paulo,EMEI MARIA DA LUZ SILVA DE OLIVEIRA PROFA,maria da luz silva de oliveira profa,,,,,,,,,,
sao paulo,EMEI PEDRO I D,pedro i d,,,,,,,,,,
sao paulo,CEU EMEI SAO MATEUS,sao mateus,MUNICIPAL,SAO MATEUS CEU CEI,58178,35058178,PARQUE BOA ESPERANCA,IGUATEMI,8341240,RUA,CURUMATIM,201
sao paulo,CEI DIRET JARDIM RUTH,jardim ruth,MUNICIPAL,JARDIM RUTH CRECHE MUNICIPAL,237127,35237127,JD RUTH,VILA JACUI,8040780,RUA,RUA GUARABU,142
sao paulo,CEI DIRET VILA SAO FRANCISCO,vila sao francisco,MUNICIPAL,VILA SAO FRANCISCO CRECHE MUNICIPAL,237814,35237814,VILA SAO FRANCISCO (ZONA LESTE),PONTE RASA,3679110,PRACA,DELIO DE CARVALHO,906
sao paulo,EMEI PARQUE SANTO ANTONIO I,parque santo antonio i,,,,,,,,,,
sao paulo,EMEI ESTRADA DO CORREDOR,estrada do corredor,MUNICIPAL,ESTRADA DO CORREDOR EMEI,486802,35486802,PARQUE PANAMERICANO,JARAGUA,2992210,ESTRADA,CORREDOR,1140
sao paulo,EMEI EUDOXIA DE BARROS PROFA,eudoxia de barros profa,MUNICIPAL,EUDOXIA DE BARROS PROFA EMEI,84232,35084232,PARQUE CASA DE PEDRA,TREMEMBE,2351000,RUA,RUA SONIA MARGY,246
sao paulo,EMEF AGUAS DE MARCO,aguas de marco,MUNICIPAL,AGUAS DE MARCO EMEF,400051,35400051,CONJUNTO RESIDENCIAL JOSE BONIFACIO,JOSE BONIFACIO,8257010,RUA,AGUAS DE MARCO,SN
sao paulo,CEU EMEI ROQUE SPENCER MACIEL DE BARROS PROF,roque spencer maciel de barros prof,MUNICIPAL,ROQUE SPENCER MACIEL DE BARROS PROF CEU EMEI,242251,35242251,CONJUNTO PROMORAR RIO CLARO,IGUATEMI,8395320,RUA,CINIRA POLONIO,100
sao paulo,EMEI APARECIDA DE LOURDES CARRILHO JARDIM PROFA,aparecida de lourdes carrilho jardim profa,,,,,,,,,,
sao paulo,EMEI SERGIO CARDOSO,sergio cardoso,MUNICIPAL,SERGIO CARDOSO EMEI,92885,35092885,INTERLAGOS,CIDADE DUTRA,4815120,RUA,RUA DJALMA PESSOLATO,57
sao paulo,EMEI PEDREIRA I,pedreira i,,,,,,,,,,
sao paulo,CEI DIRET JARDIM KAGOHARA,jardim kagohara,MUNICIPAL,JARDIM KAGOHARA CRECHE MUNICIPAL,239021,35239021,JARDIM KAGOHARA,JARDIM ANGELA,4938030,RUA,FERMATAS,120
sao paulo,CEI DIRET VICENTINA VELASCO AS SOCIAL,vicentina velasco as social,,,,,,,,,,
sao paulo,CEI DIRET MARCOS MELEGA VER,marcos melega ver,,,,,,,,,,
sao paulo,EMEI ITALO BETTARELLO PROF,italo bettarello prof,MUNICIPAL,ITALO BETTARELLO PROF EMEI,52528,35052528,VILA GUSTAVO,VILA MEDEIROS,2201000,AVENIDA,JULIO BUONO,2680
sao paulo,EMEI GLAUBER ROCHA,glauber rocha,MUNICIPAL,GLAUBER ROCHA EMEI,92654,35092654,PARQUE GUARANI,ITAQUERA,8235590,RUA,RUA PINHEIRO DO PARANA,493
sao paulo,EMEI ENIO CORREA PROF,enio correa prof,MUNICIPAL,ENIO CORREA PROF EMEI,87130,35087130,LAUZANE PAULISTA,MANDAQUI,2440060,AVENIDA,BASILEIA,80
sao paulo,CEU CEI PARQUE VEREDAS,parque veredas,MUNICIPAL,PARQUE VEREDAS CEU CEI,57915,35057915,CHACARA DONA OLIVIA,ITAIM PAULISTA,8141290,RUA,DANIEL MULLER,347
sao paulo,CEI DIRET JOSE FERREIRA KEFFER VER,jose ferreira keffer ver,,,,,,,,,,
sao paulo,CEU CEI PARQUE BRISTOL,parque bristol,MUNICIPAL,PARQUE BRISTOL CEU CEI,396539,35396539,PARQUE BRISTOL,SACOMA,4177070,RUA,ARTUR PRIMAVESI PROFESSOR,SN
sao paulo,EMEI EDALZIR SAMPAIO LIPORONI PROFA,edalzir sampaio liporoni profa,MUNICIPAL,EDALZIR SAMPAIO LIPORONI PROFA EMEI,242275,35242275,PARQUE VILA MARIA,VILA MARIA,2169290,RUA,APARECIDA NOSSA SENHORA,5
sao paulo,EMEF TEREZINHA MOTA DE FIGUEIREDO,terezinha mota de figueiredo,MUNICIPAL,TEREZINHA MOTA DE FIGUEIREDO EMEF,280847,35280847,CONJUNTO HABITACIONAL JARDIM SAO BENTO,CAPAO REDONDO,5886490,RUA,RUA CANTORIAS PAULISTA,20
sao paulo,CEI DIRET ALOYSIO DE MENEZES GREENHALGH VER,aloysio de menezes greenhalgh ver,,,,,,,,,,
sao paulo,EMEI SILVIO CALDAS COMPOSITOR,silvio caldas compositor,MUNICIPAL,SILVIO CALDAS COMPOSITOR EMEI,233924,35233924,JARDIM CELESTE,SACOMA,4195040,RUA,ANDRE PUJOS,SN
sao paulo,EMEI QUINTINO BOCAIUVA,quintino bocaiuva,MUNICIPAL,QUINTINO BOCAIUVA EMEI,52395,35052395,TATUAPE,TATUAPE,3312000,RUA,RUA MONTE SERRAT,468
sao paulo,EMEI ERNANI SILVA BRUNO,ernani silva bruno,MUNICIPAL,ERNANI SILVA BRUNO EMEI,90657,35090657,CONJUNTO RESIDENCIAL JOSE BONIFACIO,JOSE BONIFACIO,8250580,RUA,RUA DANIEL MONGOLO,145
sao paulo,EMEF PAULO FREIRE PROF,paulo freire prof,MUNICIPAL,PAULO FREIRE PROF CEU EMEI,275323,35275323,BELEM,PENHA,3074000,AVENIDA,AVENIDA CONDESSA ELISABETH ROBIANO,SN
sao paulo,CEI DIRET JOAO TONIOLO VER,joao toniolo ver,,,,,,,,,,
sao paulo,CEU CEI QUINTA DO SOL,quinta do sol,MUNICIPAL,QUINTA DO SOL CEU CEI,357005,35357005,PARQUE CISPER,CANGAIBA,3819160,AVENIDA,LUIZ IMPARATO,564
sao paulo,CEI DIRET JARDIM DIONISIO,jardim dionisio,MUNICIPAL,JARDIM DIONISIO CRECHE MUNICIPAL,239057,35239057,JARDIM SONIA REGINA,JARDIM ANGELA,4935120,RUA,WILLIAM CREMER,2
cajobi,EMEF PROFESSOR SANTO GERALDO,emef professor santo geraldo,,,,,,,,,,
guarulhos,EPG - EPG SIQUEIRA BUENO,epg - epg siqueira bueno,,,,,,,,,,
guarulhos,"EM CENTRO EDUCACIONAL DOS PIMENTAS, DO","em centro educacional dos pimentas, do",,,,,,,,,,
guarulhos,EPG - EPG MARTINS PENA,epg - epg martins pena,,,,,,,,,,
guarulhos,EPG - EPG WILSON PEREIRA DA SILVA PROFESSOR,epg - epg wilson pereira da silva professor,,,,,,,,,,
guarulhos,EPG - EPG GILMAR LOPES VEREADOR,epg - epg gilmar lopes vereador,,,,,,,,,,
guarulhos,EPG - EPG PERSEU ABRAMO,epg - epg perseu abramo,,,,,,,,,,
guarulhos,EPG - EPG NELSON DE ANDRADE,epg - epg nelson de andrade,,,,,,,,,,
guarulhos,EPG - EPG MARGARIDA MARIA DA CONCEICAO,epg - epg margarida maria da conceicao,,,,,,,,,,
guarulhos,EPG - EPG VINICIUS DE MORAIS,epg - epg vinicius de morais,,,,,,,,,,
guarulhos,EPG - EPG EDSON NUNES MALECKA PROFESSOR,epg - epg edson nunes malecka professor,,,,,,,,,,
guarulhos,EPG - EPG FAUSTINO RAMALHO VEREADOR,epg - epg faustino ramalho vereador,,,,,,,,,,
salto de pirapora,JOAO FERNANDES DE ANDRADE EMEIEF,joao fernandes de andrade emeief,,,,,,,,,,
botucatu,APAE DE BOTUCATU,apae de botucatu,,,,,,,,,,
sao jose do rio preto,ESCOLA MUNICIPAL DO BAIRRO VILA UNIAO,escola municipal do bairro vila uniao,,,,,,,,,,
sao jose do rio preto,ESCOLA MUNICIPAL PROF ALBERTO JOSE ISMAEL,escola municipal prof alberto jose ismael,,,,,,,,,,
sao jose do rio preto,ESCOLA MUNICIPAL DO BAIRRO LUZ DA ESPERANCA,escola municipal do bairro luz da esperanca,,,,,,,,,,
sao jose do rio preto,ESCOLA MUNICIPAL PROF WALFREDO DE ANDRADE FOGACA,escola municipal prof walfredo de andrade fogaca,,,,,,,,,,
bom sucesso de itarare,SILVINA DONA EMEF,silvina dona emef,,,,,,,,,,
piedade,CENTRO EDUCACIONAL MUNICIPAL DE EDUCACAO INFANTIL SYLVINO SA,centro educacional municipal de educacao infantil sylvino sa,,,,,,,,,,
sao paulo,EMEI LUIS GAMA,luis gama,MUNICIPAL,LUIS GAMA EMEI,95576,35095576,VILA SABRINA,VILA MEDEIROS,2141070,RUA,INVASAO DOS HOLANDESES,45
sao paulo,EMEI J G DE ARAUJO JORGE,j g de araujo jorge,MUNICIPAL,J G DE ARAUJO JORGE EMEI,98759,35098759,JARDIM DAS OLIVEIRAS,ITAIM PAULISTA,8111540,RUA,VALDOMIRO GONZAGA SILVA,1209
sao paulo,EMEI LUIZ PEREIRA PROF,luiz pereira prof,MUNICIPAL,LUIZ PEREIRA PROF EMEI,92691,35092691,JARDIM ITAPEMA,CIDADE LIDER,3578080,RUA,RUA JOSE OITICICA,113
sao paulo,EMEF MILLOR FERNANDES JORNALISTA,millor fernandes jornalista,MUNICIPAL,MILLOR FERNANDES JORNALISTA EMEF,419345,35419345,PARQUE REGINA,CAMPO LIMPO,5774300,RUA,FRANCISCO SOARES,SN
sao paulo,EMEF JOSE HERMINIO RODRIGUES CEL PM,jose herminio rodrigues cel pm,,,,,,,,,,
sao paulo,EMEI OTTILIA DE JESUS PIRES PROFA,ottilia de jesus pires profa,MUNICIPAL,OTTILIA DE JESUS PIRES PROFA EMEI,52516,35052516,JACANA,JACANA,2274150,RUA,RUA SAO LUIZ GONZAGA,62
sao paulo,EMEI DULCE HAUCK,dulce hauck,MUNICIPAL,DULCE HAUCK EMEI,98413,35098413,VILA PENTEADO,BRASILANDIA,2865050,RUA,RUA ANTONIO JOAQUIM DA SILVA,10
sao paulo,EMEI PARQUE COCAIA II,parque cocaia ii,MUNICIPAL,PARQUE COCAIA II EMEI,434127,35434127,PARQUE COCAIA,GRAJAU,4850140,RUA,JOSE JULIO MENDES,120
sao paulo,EMEI ANCHIETA PE,anchieta pe,,,,,,,,,,
sao paulo,EMEI PAULO ZINGG,paulo zingg,MUNICIPAL,PAULO ZINGG EMEI,76193,35076193,CONJUNTO HABITACIONAL INSTITUTO ADVENTISTA,CAPAO REDONDO,5868040,RUA,SAFRA,360
sao paulo,EMEF PLACIDO DE CASTRO,placido de castro,MUNICIPAL,PLACIDO DE CASTRO EMEF,54297,35054297,CAPELA DO SOCORRO,SOCORRO,4782080,RUA,ANTONIO MESQUITA PEREIRA,78
sao paulo,EMEI DALMO DO VALLE NOGUEIRA DES,dalmo do valle nogueira des,,,,,,,,,,
sao paulo,EMEI MARIA LUCIA PETIT DA SILVA PROFA,maria lucia petit da silva profa,MUNICIPAL,MARIA LUCIA PETIT DA SILVA PROFA EMEI,74676,35074676,JARDIM PERI,CACHOEIRINHA,2652160,RUA,RUA SOLAR,303
sao paulo,EMEI PORTO NACIONAL,porto nacional,MUNICIPAL,PORTO NACIONAL EMEI,482055,35482055,VILA SIQUEIRA (ZONA NORTE),BRASILANDIA,2817080,RUA,PORTO NACIONAL,260
sao paulo,EMEF RICARDO VITIELLO PROF,ricardo vitiello prof,,,,,,,,,,
sao paulo,EMEF LORENCO MANOEL SPARAPAN PROF,lorenco manoel sparapan prof,,,,,,,,,,
sao paulo,EMEF CARLOS CORREA MASCARO PROF,carlos correa mascaro prof,MUNICIPAL,CARLOS CORREA MASCARO PROF EMEF,207861,35207861,JARDIM DA CONQUISTA (ZONA LESTE),IGUATEMI,8343320,TRAVESSA,SALVE A MOCIDADE,932
sao paulo,EMEF JOAO NAOKI SUMITA DR,joao naoki sumita dr,MUNICIPAL,JOAO NAOKI SUMITA DR EMEF,54574,35054574,JARDIM VILA FORMOSA,ARICANDUVA,3461000,AVENIDA,ANTONIO DE CASTRO MONSENHOR,222
sao paulo,EMEI ESTRADA TURISTICA DO JARAGUA,estrada turistica do jaragua,MUNICIPAL,ESTRADA TURISTICA DO JARAGUA EMEI,338473,35338473,CONJUNTO HABITACIONAL TURISTICA,JARAGUA,5164015,RUA,AGNES FONTOURA,75
sao paulo,EMEI NEYDE GUZZI DE CHIACCHIO PROFA,neyde guzzi de chiacchio profa,,,,,,,,,,
sao paulo,EMEI ZUMBI DOS PALMARES,zumbi dos palmares,MUNICIPAL,ZUMBI DOS PALMARES EMEI,92836,35092836,PARQUE AMERICA,GRAJAU,4822160,RUA,RUA ARMANDO SPOSITO,225
sao paulo,EMEI GLOBO DO SOL,globo do sol,MUNICIPAL,GLOBO DO SOL EMEI,278920,35278920,JARDIM PEDRO JOSE NUNES,VILA JACUI,8061290,RUA,RUA GLOBO DO SOL,85
sao paulo,CEU EMEI JACANA,jacana,MUNICIPAL,JACANA CEU CEI,298281,35298281,GUAPIRA,JACANA,2276010,AVENIDA,FRANCISCA ESPOSITO TONETTI,SN
sao paulo,EMEI EDER SADER,eder sader,MUNICIPAL,EDER SADER EMEI,76156,35076156,SAPOPEMBA,SAPOPEMBA,3977220,RUA,RUA SARGETO HERMINIO AURELIO SAMPAIO,477
sao paulo,EMEI ALEX FREUA NETTO VER,alex freua netto ver,,,,,,,,,,
leme,JOSE BALDIN EMEB,jose baldin emeb,,,,,,,,,,
cosmopolis,HONORINA FROTA ROGERO BOSSHARD PROFA EMEB,honorina frota rogero bosshard profa emeb,,,,,,,,,,
cruzeiro,GIRLENE CARVALHO ALVARENGA MARTINOLI PROFA EMEIEF,girlene carvalho alvarenga martinoli profa emeief,,,,,,,,,,
pindamonhangaba,FRANCISCO ROMANO DE OLIVEIRA DR REMEFI,francisco romano de oliveira dr remefi,,,,,,,,,,
guarulhos,EPG - EPG MARIO QUINTANA,epg - epg mario quintana,,,,,,,,,,
guarulhos,EPG - EPG TIA NASTACIA,epg - epg tia nastacia,,,,,,,,,,
guarulhos,EPG - EPG CARLOS FRANCHIN VEREADOR,epg - epg carlos franchin vereador,,,,,,,,,,
guarulhos,EPG - EPG BRAGUINHA,epg - epg braguinha,,,,,,,,,,
guarulhos,EPG - EPG NAZIRA ABBUD ZANARDI,epg - epg nazira abbud zanardi,,,,,,,,,,
guarulhos,EPG - EPG MAURO ROLDAO NETO,epg - epg mauro roldao neto,,,,,,,,,,
guarulhos,EPG - EPG MARIO LAGO,epg - epg mario lago,,,,,,,,,,
guarulhos,EPG - EPG JEAN PIAGET,epg - epg jean piaget,,,,,,,,,,
guarulhos,EPG - EPG ALFREDO VOLPI,epg - epg alfredo volpi,,,,,,,,,,
guarulhos,EPG - EPG ASSIS FERREIRA,epg - epg assis ferreira,,,,,,,,,,
guarulhos,EPG - EPG TOM JOBIM,epg - epg tom jobim,,,,,,,,,,
guarulhos,EPG - EPG ANTONIO APARECIDO MAGALHAES VEREADOR,epg - epg antonio aparecido magalhaes vereador,,,,,,,,,,
guarulhos,EPG - EPG BENEDITO VICENTE DE OLIVEIRA,epg - epg benedito vicente de oliveira,,,,,,,,,,
guarulhos,EPG - EPG CELSO FURTADO,epg - epg celso furtado,,,,,,,,,,
guarulhos,EPG - EPG AMADEU PEREIRA LIMA,epg - epg amadeu pereira lima,,,,,,,,,,
sumare,ELIANA MINCHIN VAUGHAN PROFA ESC MUN ENSINO FUNDAMENTAL,eliana minchin vaughan profa esc mun ensino fundamental,,,,,,,,,,
sao jose dos campos,EMEI PROFESSORA MARIA APARECIDA CANDELARIA BERNARDES OTTOBON,emei professora maria aparecida candelaria bernardes ottobon,,,,,,,,,,
cordeiropolis,APAE DE CORDEIROPOLIS,apae de cordeiropolis,,,,,,,,,,
barueri,TARO MIZUTORI PROF EMEIEF,taro mizutori prof emeief,,,,,,,,,,
santa rosa de viterbo,ASSOCIACAO BENEDITINA DE EDUCACAO E ASSISTENCIA SOCIAL ABEAS,associacao beneditina de educacao e assistencia social abeas,,,,,,,,,,
moji mirim,GERALDO PHILOMENO PROF DR EMEB,geraldo philomeno prof dr emeb,,,,,,,,,,
moji mirim,TEREZINHA DA S OLIVEIRA VEREADORA EMEB,terezinha da s oliveira vereadora emeb,,,,,,,,,,
general salgado,SAO LUIS DO JAPIUBA PEM,sao luis do japiuba pem,,,,,,,,,,
moji mirim,MARIA DE LOURDES FERRAZ GUIMARAES PROFA CEMPI,maria de lourdes ferraz guimaraes profa cempi,,,,,,,,,,
moji mirim,NELSON NEVES DE SOUZA EMEB,nelson neves de souza emeb,,,,,,,,,,
moji mirim,ALFREDO BERGAMO CAIC PROF CEMPI,alfredo bergamo caic prof cempi,,,,,,,,,,
rio claro,ESCOLA MUNICIPAL PROFESSORA RUTINEIA PAULINO DE SOUZA FERREI,escola municipal professora rutineia paulino de souza ferrei,,,,,,,,,,
porangaba,ESCOLA MUNICIPAL DE ENSINO INFANTIL PROFESSORA VILMA DOS REI,escola municipal de ensino infantil professora vilma dos rei,,,,,,,,,,
guarulhos,EPG - EPG DONA BENTA,epg - epg dona benta,,,,,,,,,,
guarulhos,EPG - EPG RACHEL DE QUEIROZ,epg - epg rachel de queiroz,,,,,,,,,,
guarulhos,EPG - EPG GLORINHA PIMENTEL,epg - epg glorinha pimentel,,,,,,,,,,
guarulhos,EPG - EPG NADJA MARIA SEABRA SANTOS PROFESSORA,epg - epg nadja maria seabra santos professora,,,,,,,,,,
guarulhos,EPG - EPG SOPHIA FANTAZZINI CECCHINATO,epg - epg sophia fantazzini cecchinato,,,,,,,,,,
guarulhos,EPG - EPG VICENTE FERREIRA SILVEIRA DOUTOR,epg - epg vicente ferreira silveira doutor,,,,,,,,,,
guarulhos,EPG - EPG ALVARES DE AZEVEDO,epg - epg alvares de azevedo,,,,,,,,,,
guarulhos,EPG - EPG CHICO MENDES,epg - epg chico mendes,,,,,,,,,,
guarulhos,EPG - EPG JOSE JORGE PEREIRA,epg - epg jose jorge pereira,,,,,,,,,,
guarulhos,EPG - EPG PEDRINHO E NARIZINHO,epg - epg pedrinho e narizinho,,,,,,,,,,
guarulhos,EPG - EPG HAMILTON FELIX DE SOUZA,epg - epg hamilton felix de souza,,,,,,,,,,
